סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
509,כפר כנא,הצפון,,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,הרי נצרת-תירען,"24,108",18,11,"24,090",אשכול רשויות הגליל והעמקים    
387,כפר מונש,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,913,912,896,-,ללא שיוך לאשכול               
1095,כפר מימון,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,438,438,438,-,אשכול רשויות נגב מערבי        
98,"כפר מל""ל",המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,306,306,301,-,אשכול רשויות השרון            
510,כפר מנדא,הצפון,עכו,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,אזור שפרעם,"21,473",7,5,"21,465",ללא שיוך לאשכול               
274,כפר מנחם,הדרום,אשקלון,קיבוצים,יואב,אזור מלאכי,"1,371","1,371","1,337",-,אשכול רשויות שורק דרומי       
297,כפר מסריק,הצפון,עכו,קיבוצים,מטה אשר,אזור עכו,902,901,873,-,אשכול רשויות גליל מערבי       
512,כפר מצר,הצפון,,יישובים לא יהודיים 4999-2000 תושבים,בוסתן אל-מרג',רמת כוכב,"2,828",2,-,"2,826",אשכול רשויות הגליל והעמקים    
764,כפר מרדכי,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,639,640,635,-,ללא שיוך לאשכול               
316,כפר נטר,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,143","1,142","1,131",1,ללא שיוך לאשכול               
345,כפר סאלד,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,731,730,700,1,אשכול רשויות גליל מזרחי       
6900,כפר סבא,המרכז,פתח תקווה,יישובים יהודיים 199999-100000 תושבים,עירייה,דרום השרון,"101,556","101,343","97,285",214,אשכול רשויות השרון            
107,כפר סילבר,הדרום,אשקלון,יישובים מוסדיים יהודיים,חוף אשקלון,אזור אשקלון,402,389,306,14,אשכול רשויות נגב מערבי        
249,כפר סירקין,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,אזור פתח תקווה,"1,519","1,519","1,505",-,אשכול רשויות השרון            
875,כפר עבודה,המרכז,השרון,יישובים מוסדיים יהודיים,לב השרון,מערב השרון,204,203,203,1,אשכול רשויות השרון            
845,כפר עזה,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,787,786,767,-,אשכול רשויות נגב מערבי        
3488,כפר עציון,יהודה והשומרון,,קיבוצים,גוש עציון,,"1,371","1,329","1,329",41,ללא שיוך לאשכול               
189,כפר פינס,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,"1,102","1,102","1,093",-,ללא שיוך לאשכול               
634,כפר קאסם,המרכז,פתח תקווה,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"25,285",43,15,"25,241",אשכול רשויות השרון            
388,כפר קיש,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,686,679,671,7,אשכול רשויות הכנרת והעמקים    
654,כפר קרע,חיפה,חדרה,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,הר אלכסנדר,"20,018",27,4,"19,991",ללא שיוך לאשכול               
579,כפר ראש הנקרה,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,"1,422","1,421","1,392",1,אשכול רשויות גליל מערבי       
1130,כפר רוזנואלד (זרעית),הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,237,237,235,-,אשכול רשויות גליל מערבי       
295,כפר רופין,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,546,545,538,-,אשכול רשויות הכנרת והעמקים    
1166,כפר רות,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור מודיעין,275,275,267,-,ללא שיוך לאשכול               
605,כפר שמאי,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,565,565,565,-,אשכול רשויות גליל מזרחי       
743,כפר שמואל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,971,971,950,1,ללא שיוך לאשכול               
267,כפר שמריהו,תל אביב,תל אביב,יישובים כפריים אחרים יהודיים,מועצה מקומית,אזור תל אביב,"1,951","1,938","1,856",14,ללא שיוך לאשכול               
47,כפר תבור,הצפון,כנרת,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"4,410","4,377","4,284",33,אשכול רשויות הכנרת והעמקים    
3572,כפר תפוח,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,639","1,639","1,638",-,אשכול יהודה ושומרון           
1285,כרכום,הצפון,צפת,יישובים קהילתיים,מבואות החרמון,אזור חצור,511,509,496,2,אשכול רשויות גליל מזרחי       
1094,כרם ביבנה (ישיבה),המרכז,רחובות,יישובים מוסדיים יהודיים,חבל יבנה,אזור רחובות,536,536,536,-,אשכול רשויות שורק דרומי       
664,כרם בן זמרה,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,535,535,534,-,אשכול רשויות גליל מזרחי       
88,כרם בן שמן,המרכז,רמלה,יישובים כפריים אחרים יהודיים,חבל מודיעין,אזור רמלה,96,96,96,-,ללא שיוך לאשכול               
580,"כרם מהר""ל",חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,אזור זכרון יעקב,749,740,727,9,אשכול רשויות מישור החוף       
1085,כרם שלום,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,220,209,199,11,אשכול רשויות נגב מערבי        
1264,כרמי יוסף,המרכז,רמלה,יישובים כפריים אחרים יהודיים,גזר,אזור רמלה,"1,781","1,781","1,766",-,ללא שיוך לאשכול               
3766,כרמי צור,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,980,980,975,-,ללא שיוך לאשכול               
1374,כרמי קטיף,הדרום,אשקלון,יישובים קהילתיים,לכיש,אזור לכיש,678,678,678,-,ללא שיוך לאשכול               
1139,כרמיאל,הצפון,עכו,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור כרמיאל,"47,317","45,307","36,658","2,010",אשכול רשויות בית הכרם הגלילי  
768,כרמייה,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,656,655,630,1,אשכול רשויות נגב מערבי        
1198,כרמים,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,560,560,560,-,אשכול רשויות נגב מערבי        
3656,כרמל,יהודה והשומרון,,מושבים שיתופיים,הר חברון,,465,465,465,-,אשכול יהודה ושומרון           
1207,לבון,הצפון,עכו,יישובים כפריים אחרים יהודיים,משגב,אזור יחיעם,845,843,811,1,אשכול רשויות בית הכרם הגלילי  
585,לביא,הצפון,כנרת,קיבוצים,הגליל התחתון,גליל תחתון מזרחי,604,604,604,-,אשכול רשויות הכנרת והעמקים    
1230,לבנים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מרכזי,486,485,462,1,אשכול רשויות גליל מזרחי       
2023,להב,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,672,671,663,1,אשכול רשויות נגב מערבי        
380,להבות הבשן,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,915,912,858,3,אשכול רשויות גליל מזרחי       
715,להבות חביבה,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,"1,061","1,061","1,049",-,ללא שיוך לאשכול               
1271,להבים,הדרום,באר שבע,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור באר שבע,"7,219","6,902","6,734",318,ללא שיוך לאשכול               
7000,לוד,המרכז,רמלה,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור רמלה,"85,351","60,258","53,817","25,094",ללא שיוך לאשכול               
52,לוזית,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,871,869,854,2,ללא שיוך לאשכול               
595,לוחמי הגיטאות,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,866,866,846,-,אשכול רשויות גליל מערבי       
1171,לוטם,הצפון,עכו,קיבוצים,משגב,אזור כרמיאל,793,737,727,57,אשכול רשויות בית הכרם הגלילי  
1255,לוטן,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,200,200,175,-,אשכול רשויות נגב מזרחי        
674,לימן,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור נהרייה,684,683,647,2,אשכול רשויות גליל מערבי       
24,לכיש,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,819,819,805,-,ללא שיוך לאשכול               
1310,לפיד,המרכז,רמלה,יישובים יהודיים 4999-2000 תושבים,חבל מודיעין,אזור מודיעין,"2,325","2,324","2,307",-,ללא שיוך לאשכול               
1173,לפידות,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,126,126,119,-,אשכול רשויות גליל מערבי       
1060,לקיה,הדרום,באר שבע,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור באר שבע,"16,011",17,-,"15,994",אשכול רשויות נגב מערבי        
2055,מאור,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,"1,479","1,479","1,450",-,ללא שיוך לאשכול               
102,מאיר שפיה,חיפה,חדרה,יישובים מוסדיים יהודיים,חוף הכרמל,אזור זכרון יעקב,365,334,188,31,אשכול רשויות מישור החוף       
771,מבוא ביתר,ירושלים,ירושלים,מושבים שיתופיים,מטה יהודה,הרי יהודה,"1,058","1,058","1,042",-,ללא שיוך לאשכול               
3569,מבוא דותן,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,612,613,606,-,אשכול יהודה ושומרון           
3709,מבוא חורון,יהודה והשומרון,,מושבים שיתופיים 4999-2000 תושבים,מטה בנימין,,"2,669","2,669","2,669",-,אשכול יהודה ושומרון           
4204,מבוא חמה,הצפון,גולן,קיבוצים,גולן,גולן דרומי,481,481,471,-,אשכול רשויות גליל מזרחי       
1141,מבוא מודיעים,המרכז,רמלה,יישובים קהילתיים,חבל מודיעין,אזור מודיעין,238,238,237,-,ללא שיוך לאשכול               
1318,מבואות ים,המרכז,השרון,יישובים מוסדיים יהודיים,עמק חפר,מערב השרון,445,439,413,6,ללא שיוך לאשכול               
3825,מבואות יריחו,יהודה והשומרון,,יישובים קהילתיים,ערבות הירדן,,308,308,308,-,ללא שיוך לאשכול               
1080,מבועים,הדרום,באר שבע,יישובים כפריים אחרים יהודיים,מרחבים,אזור גרר,"1,238","1,237","1,213",1,אשכול רשויות נגב מערבי        
829,מבטחים,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,455,456,450,-,אשכול רשויות נגב מערבי        
573,מבקיעים,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,517,516,506,-,אשכול רשויות נגב מערבי        
1015,מבשרת ציון,ירושלים,ירושלים,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,הרי יהודה,"25,487","25,393","24,519",93,ללא שיוך לאשכול               
481,מגאר,הצפון,כנרת,יישובים לא יהודיים 49999-20000 תושבים,עירייה,גליל תחתון מזרחי,"23,998",22,11,"23,977",אשכול רשויות הכנרת והעמקים    
516,מג'ד אל-כרום,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור כרמיאל,"15,777",14,8,"15,763",אשכול רשויות בית הכרם הגלילי  
689,מגדים,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,חוף הכרמל,"1,391","1,390","1,365",-,אשכול רשויות מישור החוף       
65,מגדל,הצפון,כנרת,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,כנרות,"2,031","1,982","1,920",49,אשכול רשויות הכנרת והעמקים    
874,מגדל העמק,הצפון,יזרעאל,יישובים יהודיים 49999-20000 תושבים,עירייה,הרי נצרת-תירען,"27,088","27,073","23,680",14,אשכול רשויות הגליל והעמקים    
3561,מגדל עוז,יהודה והשומרון,,קיבוצים,גוש עציון,,572,572,570,-,ללא שיוך לאשכול               
4201,מג'דל שמס,הצפון,גולן,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור החרמון,"11,458",1,-,"11,456",אשכול רשויות גליל מזרחי       
1722,מגדל תפן,הצפון,עכו,מוקד תעסוקה,מועצה מקומית,אזור יחיעם,-,-,-,-,אשכול רשויות גליל מערבי       
3751,מגדלים,יהודה והשומרון,,יישובים קהילתיים,שומרון,,592,592,579,-,אשכול יהודה ושומרון           
586,מגידו,הצפון,יזרעאל,קיבוצים,מגידו,עמק יזרעאל,867,867,849,-,אשכול רשויות הגליל והעמקים    
375,מגל,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,"1,219","1,219","1,207",-,ללא שיוך לאשכול               
695,מגן,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,540,532,488,8,אשכול רשויות נגב מערבי        
1155,מגן שאול,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,761,761,621,-,אשכול רשויות הגליל והעמקים    
722,מגשימים,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,אזור פתח תקווה,"1,091","1,090","1,085",1,אשכול רשויות השרון            
2029,מדרך עוז,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,מגידו,עמק יזרעאל,822,822,751,-,אשכול רשויות הגליל והעמקים    
1140,מדרשת בן גוריון,הדרום,באר שבע,יישובים כפריים אחרים יהודיים,רמת נגב,הר הנגב הצפוני,"1,938","1,938","1,830",1,אשכול רשויות נגב מזרחי        
897,מדרשת רופין,המרכז,השרון,יישובים מוסדיים יהודיים,עמק חפר,מערב השרון,281,170,162,111,ללא שיוך לאשכול               
3797,מודיעין עילית,יהודה והשומרון,,יישובים יהודיים 99999-50000 תושבים,עירייה,,"83,356","83,356","83,341",-,אשכול יהודה ושומרון           
1200,מודיעין-מכבים-רעות,המרכז,רמלה,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור מודיעין,"99,171","99,127","96,821",44,ללא שיוך לאשכול               
269,מולדת,הצפון,יזרעאל,מושבים שיתופיים,הגלבוע,רמת כוכב,"1,082","1,082","1,071",-,אשכול רשויות הגליל והעמקים    
208,מוצא עילית,ירושלים,ירושלים,יישובים כפריים אחרים יהודיים,מטה יהודה,הרי יהודה,"1,635","1,625","1,581",11,ללא שיוך לאשכול               
635,מוקייבלה,הצפון,יזרעאל,יישובים לא יהודיים 4999-2000 תושבים,הגלבוע,עמק יזרעאל,"4,281",4,4,"4,277",אשכול רשויות הגליל והעמקים    
1163,מורן,הצפון,עכו,קיבוצים,משגב,אזור כרמיאל,498,493,482,4,אשכול רשויות בית הכרם הגלילי  
1178,מורשת,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,601","1,601","1,601",-,אשכול רשויות בית הכרם הגלילי  
606,מזור,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,"1,330","1,330","1,321",-,ללא שיוך לאשכול               
28,מזכרת בתיה,המרכז,רחובות,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור רחובות,"15,726","15,719","15,492",7,אשכול רשויות שורק דרומי       
104,מזרע,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,864,864,842,-,אשכול רשויות הגליל והעמקים    
517,מזרעה,הצפון,עכו,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,אזור נהרייה,"4,115",14,8,"4,102",אשכול רשויות גליל מערבי       
3599,מחולה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,688,688,687,-,אשכול יהודה ושומרון           
1196,מחנה יתיר,הדרום,באר שבע,יישובים כפריים אחרים יהודיים,,אזור באר שבע,306,284,284,22,ללא שיוך לאשכול               
308,מחניים,הצפון,צפת,קיבוצים,הגליל העליון,אזור חצור,798,796,781,1,אשכול רשויות גליל מזרחי       
776,מחסיה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,498,498,497,-,ללא שיוך לאשכול               
43,מטולה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מועצה מקומית,עמק חולה,"1,740","1,679","1,589",61,אשכול רשויות גליל מזרחי       
822,מטע,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,951,948,927,2,ללא שיוך לאשכול               
1128,מי עמי,חיפה,חדרה,מושבים שיתופיים,מנשה,הר אלכסנדר,361,362,356,-,ללא שיוך לאשכול               
2054,מיטב,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,456,456,449,-,אשכול רשויות הגליל והעמקים    
1154,מיטל,הצפון,יזרעאל,יישובים מוסדיים יהודיים,עמק המעיינות,עמק בית שאן,188,179,159,9,אשכול רשויות הכנרת והעמקים    
649,מייסר,חיפה,חדרה,יישובים לא יהודיים 4999-2000 תושבים,מנשה,הר אלכסנדר,"2,115",9,9,"2,106",ללא שיוך לאשכול               
4019,מיצר,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,336,336,331,-,אשכול רשויות גליל מזרחי       
1282,מירב,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,787,787,787,-,אשכול רשויות הכנרת והעמקים    
607,מירון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,"1,136","1,136","1,097",-,אשכול רשויות גליל מזרחי       
731,מישר,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,835,835,823,-,ללא שיוך לאשכול               
1268,מיתר,הדרום,באר שבע,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור באר שבע,"10,947","10,737","10,520",208,אשכול רשויות נגב מזרחי        
3614,מכורה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,179,180,161,-,אשכול יהודה ושומרון           
1343,מכחול,הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,אל קסום,אזור באר שבע,"1,226",-,-,"1,226",אשכול רשויות נגב מזרחי        
382,מכמורת,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,506","1,505","1,454",-,ללא שיוך לאשכול               
1202,מכמנים,הצפון,עכו,יישובים קהילתיים,משגב,אזור כרמיאל,609,586,538,22,אשכול רשויות בית הכרם הגלילי  
164,מלאה,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,363,363,358,-,אשכול רשויות הגליל והעמקים    
2044,מלילות,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,398,398,398,-,אשכול רשויות נגב מערבי        
596,מלכייה,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,445,444,395,-,אשכול רשויות גליל מזרחי       
2030,מנוחה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור מלאכי,668,668,652,-,ללא שיוך לאשכול               
1174,מנוף,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,משגב,אזור שפרעם,851,851,846,-,אשכול רשויות בית הכרם הגלילי  
1205,מנות,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,525,525,516,-,אשכול רשויות גליל מערבי       
48,מנחמיה,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,עמק המעיינות,עמק בית שאן,"1,065","1,060","1,023",5,אשכול רשויות הכנרת והעמקים    
347,מנרה,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,284,284,258,-,אשכול רשויות גליל מזרחי       
994,מנשית זבדה,הצפון,,יישובים כפריים אחרים לא יהודיים,עמק יזרעאל,הרי נצרת-תירען,"1,522",1,-,"1,521",אשכול רשויות הגליל והעמקים    
1258,מסד,הצפון,כנרת,יישובים קהילתיים,הגליל התחתון,גליל תחתון מזרחי,389,388,370,1,אשכול רשויות הכנרת והעמקים    
263,מסדה,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,388,384,374,5,אשכול רשויות הכנרת והעמקים    
298,מסילות,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,484,483,468,-,אשכול רשויות הכנרת והעמקים    
742,מסילת ציון,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,247","1,239","1,217",8,ללא שיוך לאשכול               
748,מסלול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור בשור,951,951,944,-,אשכול רשויות נגב מערבי        
4203,מסעדה,הצפון,גולן,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,גולן צפוני,"3,869",3,-,"3,866",אשכול רשויות גליל מזרחי       
197,מעברות,המרכז,השרון,קיבוצים,עמק חפר,מערב השרון,997,997,977,-,ללא שיוך לאשכול               
1082,מעגלים,הדרום,באר שבע,יישובים יהודיים 4999-2000 תושבים,שדות נגב,אזור גרר,"2,075","2,075","2,075",-,אשכול רשויות נגב מערבי        
678,מעגן,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,395,396,383,-,אשכול רשויות הכנרת והעמקים    
694,מעגן מיכאל,חיפה,חדרה,קיבוצים 4999-2000 תושבים,חוף הכרמל,חוף הכרמל,"2,074","2,074","1,999",-,אשכול רשויות מישור החוף       
272,מעוז חיים,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,505,504,495,1,אשכול רשויות הכנרת והעמקים    
3657,מעון,יהודה והשומרון,,מושבים שיתופיים,הר חברון,,607,607,607,-,אשכול יהודה ושומרון           
570,מעונה,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,965,962,941,2,אשכול רשויות גליל מערבי       
416,מעיין ברוך,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,746,746,734,-,אשכול רשויות גליל מזרחי       
290,מעיין צבי,חיפה,חדרה,קיבוצים,חוף הכרמל,אזור זכרון יעקב,750,750,746,-,אשכול רשויות מישור החוף       
518,מעיליא,הצפון,עכו,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,אזור יחיעם,"3,281",82,69,"3,200",אשכול רשויות גליל מערבי       
3616,מעלה אדומים,יהודה והשומרון,,יישובים יהודיים 49999-20000 תושבים,עירייה,,"38,046","37,940","36,532",107,ללא שיוך לאשכול               
3608,מעלה אפרים,יהודה והשומרון,,יישובים כפריים אחרים יהודיים,מועצה מקומית,,"1,377","1,372","1,256",5,ללא שיוך לאשכול               
1127,מעלה גלבוע,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,843,843,843,-,אשכול רשויות הכנרת והעמקים    
4008,מעלה גמלא,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן תיכוני,596,596,577,-,אשכול רשויות גליל מזרחי       
286,מעלה החמישה,ירושלים,ירושלים,קיבוצים,מטה יהודה,הרי יהודה,862,859,840,3,ללא שיוך לאשכול               
3752,מעלה לבונה,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,018","1,018","1,016",-,אשכול יהודה ושומרון           
3651,מעלה מכמש,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,744","1,744","1,743",-,אשכול יהודה ושומרון           
1327,מעלה עירון,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הר אלכסנדר,"15,861",4,1,"15,857",ללא שיוך לאשכול               
3653,מעלה עמוס,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,906,906,904,-,ללא שיוך לאשכול               
1063,מעלות-תרשיחא,הצפון,עכו,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור יחיעם,"22,521","17,439","14,436","5,082",אשכול רשויות גליל מערבי       
344,מענית,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,883,883,845,-,ללא שיוך לאשכול               
230,מעש,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,אזור פתח תקווה,826,826,820,-,אשכול רשויות השרון            
668,מפלסים,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,"1,057","1,055","1,027",3,אשכול רשויות נגב מערבי        
1791,מפעלי ברקן,יהודה והשומרון,,מוקד תעסוקה,שומרון,,-,-,-,-,אשכול יהודה ושומרון           
1706,מפעלי גליל עליון,הצפון,צפת,מוקד תעסוקה,הגליל העליון,עמק חולה,-,-,-,-,אשכול רשויות גליל מזרחי       
1739,מפעלי גרנות,חיפה,חדרה,מוקד תעסוקה,מנשה,אזור חדרה,-,-,-,-,ללא שיוך לאשכול               
1717,מפעלי העמק (יזרעאל),הצפון,יזרעאל,מוקד תעסוקה,עמק יזרעאל,עמק יזרעאל,-,-,-,-,אשכול רשויות הגליל והעמקים    
1729,מפעלי חבל מודיעים,המרכז,רמלה,מוקד תעסוקה,חבל מודיעין,אזור רמלה,-,-,-,-,ללא שיוך לאשכול               
1775,מפעלי ים המלח(סדום),הדרום,באר שבע,מוקד תעסוקה,תמר,אזור ים המלח,-,-,-,-,ללא שיוך לאשכול               
1753,מפעלי כנות,הדרום,אשקלון,מוקד תעסוקה,באר טוביה,אזור מלאכי,-,-,-,-,אשכול רשויות שורק דרומי       
1773,מפעלי מישור רותם,הדרום,באר שבע,מוקד תעסוקה,תמר,הר הנגב הצפוני,-,-,-,-,ללא שיוך לאשכול               
1769,מפעלי מעון,הדרום,באר שבע,מוקד תעסוקה,אשכול,אזור בשור,-,-,-,-,אשכול רשויות נגב מערבי        
1761,מפעלי צומת מלאכי,הדרום,אשקלון,מוקד תעסוקה,באר טוביה,אזור מלאכי,-,-,-,-,אשכול רשויות שורק דרומי       
1776,מפעלי צין - ערבה,הדרום,באר שבע,מוקד תעסוקה,הערבה התיכונה,הר הנגב הצפוני,-,-,-,-,אשכול רשויות נגב מזרחי        
1711,מפעלי צמח,הצפון,כנרת,מוקד תעסוקה,עמק הירדן,כנרות,-,-,-,-,אשכול רשויות הכנרת והעמקים    
1719,מפעלי שאן,הצפון,יזרעאל,מוקד תעסוקה,עמק המעיינות,עמק בית שאן,-,-,-,-,אשכול רשויות הכנרת והעמקים    
3745,מצדות יהודה,יהודה והשומרון,,מושבים שיתופיים,הר חברון,,696,696,695,-,אשכול יהודה ושומרון           
325,מצובה,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,"1,163","1,163","1,134",-,אשכול רשויות גליל מערבי       
757,מצליח,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,"1,346","1,347","1,330",-,ללא שיוך לאשכול               
58,מצפה,הצפון,כנרת,יישובים כפריים אחרים יהודיים,הגליל התחתון,גליל תחתון מזרחי,125,125,123,-,אשכול רשויות הכנרת והעמקים    
1222,"מצפה אבי""ב",הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,070","1,070","1,059",-,אשכול רשויות בית הכרם הגלילי  
1370,מצפה אילן,חיפה,חדרה,יישובים קהילתיים,מנשה,הר אלכסנדר,763,763,761,-,ללא שיוך לאשכול               
3576,מצפה יריחו,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,657","2,657","2,649",-,אשכול יהודה ושומרון           
